TEMPO	AC_X	AC_Y	AC_Z	GIR_X	GIR_Y	GIR_Z	TEMP	PRESSÃO	RSSI	ALTURA
0	3048	10356	-11304	-77	49	5	46,74	1503,72	-107	-0,039269672
0,5	3036	10268	-11232	-127	37	8	46,69	1503,66	-108	0,297332323
1	2964	10288	-11188	-102	37	5	46,69	1503,7	-109	0,072929784
1,5	3120	10264	-11260	-111	47	22	46,69	1503,74	-107	-0,151467921
2	3076	10364	-11136	-122	24	3	46,74	1503,75	-107	-0,207566592
2,5	2988	10284	-11240	-111	12	1	46,79	1503,74	-108	-0,151467921
3	3080	10288	-11232	-109	30	8	46,69	1503,74	-108	-0,151467921
3,5	2952	10240	-11252	-92	12	28	46,74	1503,72	-108	-0,039269672
4	2924	10308	-11260	-134	13	-3	46,6	1503,66	-108	0,297332323
4,5	3124	10240	-11268	-101	22	16	46,74	1503,74	-108	-0,151467921
5	3056	10248	-11300	-101	23	-3	46,79	1503,64	-108	0,409535404
5,5	2952	10256	-11376	-106	20	9	46,69	1503,7	-108	0,072929784
6	3012	10324	-11152	-114	6	16	46,6	1503,72	-108	-0,039269672
6,5	3048	10248	-11364	-136	34	33	46,65	1503,68	-108	0,185130449
7	2988	10268	-11260	-107	22	16	46,74	1503,7	-108	0,072929784
7,5	3040	10384	-11384	-106	40	16	46,74	1503,72	-107	-0,039269672
8	3136	10316	-11216	-117	33	32	46,74	1503,7	-106	0,072929784
8,5	3004	10304	-11204	-124	3	8	46,69	1503,74	-106	-0,151467921
9	3044	10288	-11296	-113	-9	36	46,65	1503,68	-107	0,185130449
9,5	3032	10252	-11264	-117	41	9	46,79	1503,68	-107	0,185130449
10	3004	10316	-11280	-124	20	27	46,79	1503,7	-107	0,072929784
10,5	3032	10272	-11268	-107	42	4	46,6	1503,75	-107	-0,207566592
11	3064	10328	-11228	-94	46	2	46,69	1503,7	-107	0,072929784
11,5	3068	10296	-11332	-107	38	32	46,65	1503,68	-106	0,185130449
12	2916	10236	-11376	-118	37	31	46,74	1503,7	-107	0,072929784
12,5	3096	10316	-11292	-111	12	19	46,74	1503,68	-107	0,185130449
13	3064	10348	-11356	-114	-6	22	46,69	1503,75	-107	-0,207566592
13,5	3084	10252	-11132	-105	25	22	46,74	1503,77	-107	-0,319763028
14	3088	10308	-11212	-122	26	-4	46,69	1503,77	-108	-0,319763028
14,5	3024	10404	-11336	-113	18	22	46,65	1503,7	-107	0,072929784
15	3020	10216	-11052	-126	47	-20	46,74	1503,77	-109	-0,319763028
15,5	3580	8128	-9932	-24	-10	483	46,6	1504,27	-109	-3,124281325
16	32767	-31980	-32768	-1257	-1138	8131	46,65	1514,62	-106	-61,00897589
16,5	32768	7976	32767	-32768	11069	-32768	46,69	1494,72	-87	50,57299889
17	32768	-32768	32767	-32768	32767	-32768	46,55	1486,4	-92	97,58119999
17,5	32768	32767	-272	-7591	-19142	-32768	46,69	1489,11	-100	82,24628994
18	4028	13272	4284	5025	-25307	-32768	46,69	1492,62	-95	62,41802126
18,5	11272	16224	4496	4369	-22758	-32768	46,6	1492,84	-85	61,17648162
19	7352	27592	3708	-4347	-8668	-32768	46,65	1492,16	-83	65,01444665
19,5	22684	20944	1156	10729	-12345	-32768	46,74	1492,88	-87	60,95076305
20	4264	24792	5288	-5692	-9729	-32768	46,65	1494,17	-90	53,67396359
20,5	6112	26592	6856	-5844	-1019	-32768	46,65	1495,39	-88	46,79670809
21	32768	32767	1164	18277	-15547	-32768	46,69	1496,32	-101	41,55726094
21,5	32768	32767	7416	2257	-26964	-32768	46,69	1497,75	-96	33,50604864
22	8140	32767	8080	-8015	-4453	-32768	46,65	1499,37	-96	24,39261103
22,5	9080	32767	2964	-1245	-20987	-32768	46,74	1500,72	-116	16,80416807
